Round,QB,WR/TE,RB,Other,Qbave,Wrave,Rbave,Othave
1,39x,16,45,0,0.39,0.16,0.45,0
2,30,45,25,0,0.3,0.45,0.25,0
3,15,75,10,0,0.15,0.75,0.1,0
4,42,15,43,0,0.42,0.15,0.43,0
5,28,36,36,0,0.28,0.36,0.36,0
6,17,72,11,0,0.17,0.72,0.11,0
7,11,74,15,0,0.11,0.74,0.15,0
8,18,65,17,0,0.18,0.65,0.17,0
9,10,0,88,2,0.1,0,0.88,0.02
10,27,2,71,0,0.27,0.02,0.71,0
11,22,1,75,2,0.22,0.01,0.75,0.02
12,23,0,56,21,0.23,0,0.56,0.21
13,26,1,52,21,0.26,0.01,0.52,0.21
14,31,3,58,8,0.31,0.03,0.58,0.08
15,15,4,35,46,0.15,0.04,0.35,0.46
16,0,0,0,100,0,0,0,1
#delete columns 2:4
run simulations on paid version of draft wizard
paste weight matrix into analysis script
