"","position","name","team"
"1","QB",NA,"1"
"2","QB",NA,"1"
"3","RB",NA,"1"
"4","RB",NA,"1"
"5","WR/TE",NA,"1"
"6","WR/TE",NA,"1"
"7","WR/TE",NA,"1"
"8","RB/WR/TE",NA,"1"
"9","QB",NA,"2"
"10","QB",NA,"2"
"11","RB",NA,"2"
"12","RB",NA,"2"
"13","WR/TE",NA,"2"
"14","WR/TE",NA,"2"
"15","WR/TE",NA,"2"
"16","RB/WR/TE",NA,"2"
"17","QB",NA,"3"
"18","QB",NA,"3"
"19","RB",NA,"3"
"20","RB",NA,"3"
"21","WR/TE",NA,"3"
"22","WR/TE",NA,"3"
"23","WR/TE",NA,"3"
"24","RB/WR/TE",NA,"3"
"25","QB",NA,"4"
"26","QB",NA,"4"
"27","RB",NA,"4"
"28","RB",NA,"4"
"29","WR/TE",NA,"4"
"30","WR/TE",NA,"4"
"31","WR/TE",NA,"4"
"32","RB/WR/TE",NA,"4"
"33","QB",NA,"5"
"34","QB",NA,"5"
"35","RB",NA,"5"
"36","RB",NA,"5"
"37","WR/TE",NA,"5"
"38","WR/TE",NA,"5"
"39","WR/TE",NA,"5"
"40","RB/WR/TE",NA,"5"
"41","QB",NA,"6"
"42","QB",NA,"6"
"43","RB",NA,"6"
"44","RB",NA,"6"
"45","WR/TE",NA,"6"
"46","WR/TE",NA,"6"
"47","WR/TE",NA,"6"
"48","RB/WR/TE",NA,"6"
"49","QB",NA,"7"
"50","QB",NA,"7"
"51","RB",NA,"7"
"52","RB",NA,"7"
"53","WR/TE",NA,"7"
"54","WR/TE",NA,"7"
"55","WR/TE",NA,"7"
"56","RB/WR/TE",NA,"7"
"57","QB",NA,"8"
"58","QB",NA,"8"
"59","RB",NA,"8"
"60","RB",NA,"8"
"61","WR/TE",NA,"8"
"62","WR/TE",NA,"8"
"63","WR/TE",NA,"8"
"64","RB/WR/TE",NA,"8"
"65","QB",NA,"9"
"66","QB",NA,"9"
"67","RB",NA,"9"
"68","RB",NA,"9"
"69","WR/TE",NA,"9"
"70","WR/TE",NA,"9"
"71","WR/TE",NA,"9"
"72","RB/WR/TE",NA,"9"
"73","QB",NA,"10"
"74","QB",NA,"10"
"75","RB",NA,"10"
"76","RB",NA,"10"
"77","WR/TE",NA,"10"
"78","WR/TE",NA,"10"
"79","WR/TE",NA,"10"
"80","RB/WR/TE",NA,"10"
