"","name","position","points","available"
"1","Andrew Luck","QB",431.74,"available"
"2","Aaron Rodgers","QB",430.14,"available"
"3","Peyton Manning","QB",390.68,"available"
"4","Antonio Brown","WR/TE",382.9,"available"
"5","Le'Veon Bell","RB",370.5,"available"
"6","Ben Roethlisberger","QB",370.18,"available"
"7","Drew Brees","QB",369.98,"available"
"8","Russell Wilson","QB",368.6,"available"
"9","DeMarco Murray","RB",351.1,"available"
"10","Matt Forte","RB",346.6,"available"
"11","Tom Brady","QB",344.06,"available"
"12","Demaryius Thomas","WR/TE",340.9,"available"
"13","Matt Ryan","QB",340.26,"available"
"14","Tony Romo","QB",334.3,"available"
"15","Ryan Tannehill","QB",333.5,"available"
"16","Eli Manning","QB",329.5,"available"
"17","Jordy Nelson","WR/TE",327.9,"available"
"18","Philip Rivers","QB",327.64,"available"
"19","Joe Flacco","QB",316.44,"available"
"20","Dez Bryant","WR/TE",316,"available"
"21","Jay Cutler","QB",312.28,"available"
"22","Marshawn Lynch","RB",302.3,"available"
"23","Emmanuel Sanders","WR/TE",301.8,"available"
"24","Julio Jones","WR/TE",297.4,"available"
"25","Matthew Stafford","QB",295.58,"available"
"26","Odell Beckham Jr.","WR/TE",295,"available"
"27","Randall Cobb","WR/TE",293.4,"available"
"28","Colin Kaepernick","QB",288.66,"available"
"29","Cam Newton","QB",284.98,"available"
"30","Jeremy Maclin","WR/TE",277.8,"available"
"31","Arian Foster","RB",275.5,"available"
"32","Eddie Lacy","RB",272.6,"available"
"33","Rob Gronkowski","WR/TE",266.4,"available"
"34","Andy Dalton","QB",263.62,"available"
"35","Alshon Jeffery","WR/TE",261.6,"available"
"36","Golden Tate","WR/TE",259.1,"available"
"37","T.Y. Hilton","WR/TE",258.5,"available"
"38","Alex Smith","QB",256,"available"
"39","Jamaal Charles","RB",250.4,"available"
"40","Justin Forsett","RB",246.9,"available"
"41","Mike Evans","WR/TE",245.1,"available"
"42","Derek Carr","QB",234,"available"
"43","DeAndre Hopkins","WR/TE",231,"available"
"44","Jimmy Graham","WR/TE",229.9,"available"
"45","Calvin Johnson","WR/TE",226.7,"available"
"46","Kelvin Benjamin","WR/TE",225.8,"available"
"47","Lamar Miller","RB",223.4,"available"
"48","Antonio Gates","WR/TE",223.1,"available"
"49","Julian Edelman","WR/TE",222.6,"available"
"50","Martellus Bennett","WR/TE",221.6,"available"
"51","Greg Olsen","WR/TE",220.8,"available"
"52","Anquan Boldin","WR/TE",219.6,"available"
"53","Steve Smith","WR/TE",219.5,"available"
"54","Ryan Fitzpatrick","QB",213.72,"available"
"55","Mike Wallace","WR/TE",212.8,"available"
"56","Kyle Orton","QB",212.12,"available"
"57","Roddy White","WR/TE",212.1,"available"
"58","C.J. Anderson","RB",211.3,"available"
"59","Jeremy Hill","RB",210.9,"available"
"60","Brandon LaFell","WR/TE",210.6,"available"
"61","DeSean Jackson","WR/TE",209.6,"available"
"62","Teddy Bridgewater","QB",207.66,"available"
"63","A.J. Green","WR/TE",205.3,"available"
"64","Jordan Matthews","WR/TE",202.2,"available"
"65","LeSean McCoy","RB",201.4,"available"
"66","Eric Decker","WR/TE",200.2,"available"
"67","Joique Bell","RB",198.2,"available"
"68","Sammy Watkins","WR/TE",198,"available"
"69","Matt Asiata","RB",194.2,"available"
"70","Mark Ingram","RB",191.9,"available"
"71","Torrey Smith","WR/TE",191.7,"available"
"72","Andre Johnson","WR/TE",190.6,"available"
"73","Blake Bortles","QB",190.22,"available"
"74","Fred Jackson","RB",188.6,"available"
"75","Alfred Morris","RB",187.9,"available"
"76","Giovani Bernard","RB",187.9,"available"
"77","Travis Kelce","WR/TE",183.2,"available"
"78","Rueben Randle","WR/TE",182.8,"available"
"79","Mohamed Sanu","WR/TE",182.26,"available"
"80","Jarvis Landry","WR/TE",181.4,"available"
"81","Eddie Royal","WR/TE",181.2,"available"
"82","Brian Hoyer","QB",180.94,"available"
"83","Vincent Jackson","WR/TE",180.2,"available"
"84","Brandon Marshall","WR/TE",179.1,"available"
"85","Andre Ellington","RB",177.5,"available"
"86","Marques Colston","WR/TE",177.2,"available"
"87","Geno Smith","QB",176.8,"available"
"88","Coby Fleener","WR/TE",176.4,"available"
"89","Delanie Walker","WR/TE",176,"available"
"90","Keenan Allen","WR/TE",175.3,"available"
"91","Kenny Stills","WR/TE",173.9,"available"
"92","Malcom Floyd","WR/TE",173.6,"available"
"93","James Jones","WR/TE",173.6,"available"
"94","Greg Jennings","WR/TE",169.2,"available"
"95","Kendall Wright","WR/TE",167.9,"available"
"96","Mark Sanchez","QB",167.42,"available"
"97","Doug Baldwin","WR/TE",167.3,"available"
"98","Shane Vereen","RB",166.8,"available"
"99","Michael Floyd","WR/TE",165.3,"available"
"100","Robert Woods","WR/TE",164.9,"available"
"101","Jason Witten","WR/TE",164.3,"available"
"102","Julius Thomas","WR/TE",163.9,"available"
"103","Michael Crabtree","WR/TE",162.2,"available"
"104","Pierre Garcon","WR/TE",161.2,"available"
"105","Heath Miller","WR/TE",160.1,"available"
"106","Andrew Hawkins","WR/TE",158.9,"available"
"107","Frank Gore","RB",158.4,"available"
"108","Allen Hurns","WR/TE",154.7,"available"
"109","Ahmad Bradshaw","RB",154.5,"available"
"110","Larry Donnell","WR/TE",153.3,"available"
"111","Chris Ivory","RB",152.4,"available"
"112","Reggie Wayne","WR/TE",151.9,"available"
"113","Larry Fitzgerald","WR/TE",151.4,"available"
"114","Josh McCown","QB",148.94,"available"
"115","Terrance Williams","WR/TE",147.1,"available"
"116","John Brown","WR/TE",147,"available"
"117","Jonathan Stewart","RB",146,"available"
"118","Darren Sproles","RB",145.6,"available"
"119","Nick Foles","QB",145.32,"available"
"120","Branden Oliver","RB",145.3,"available"
"121","Andre Williams","RB",145.1,"available"
"122","Zach Ertz","WR/TE",144.2,"available"
"123","Kenny Britt","WR/TE",142.2,"available"
"124","Steven Jackson","RB",141.5,"available"
"125","Andre Holmes","WR/TE",140.3,"available"
"126","Brandin Cooks","WR/TE",139.3,"available"
"127","Rashad Jennings","RB",138.5,"available"
"128","Jermaine Gresham","WR/TE",138,"available"
"129","Charles Clay","WR/TE",136.5,"available"
"130","Dwayne Bowe","WR/TE",135.4,"available"
"131","Tre Mason","RB",135.3,"available"
"132","Jared Cook","WR/TE",133.4,"available"
"133","Mychal Rivera","WR/TE",133.4,"available"
