name,team,position,points,bye_week,available
Aaron Rodgers,'',QB,25.2825,7,TRUE
Andrew Luck,'',QB,25.1375,10,TRUE
Peyton Manning,'',QB,22.94,7,TRUE
Drew Brees,'',QB,22.8975,11,TRUE
Russell Wilson,'',QB,22.67125,9,TRUE
Ben Roethlisberger,'',QB,21.81125,11,TRUE
Tony Romo,'',QB,21.67375,6,TRUE
Eli Manning,'',QB,21.41125,11,TRUE
Matt Ryan,'',QB,20.955,10,TRUE
Cam Newton,'',QB,20.6075,5,TRUE
Ryan Tannehill,'',QB,20.52375,5,TRUE
Philip Rivers,'',QB,20.44,10,TRUE
Antonio Brown,'',WR/TE,20.3,11,TRUE
Matthew Stafford,'',QB,20.23125,9,TRUE
Sam Bradford,'',QB,19.46375,8,TRUE
Jay Cutler,'',QB,18.68875,7,TRUE
Demaryius Thomas,'',WR/TE,18.6125,7,TRUE
Carson Palmer,'',QB,18.52,9,TRUE
Julio Jones,'',WR/TE,18.41875,10,TRUE
Joe Flacco,'',QB,18.32875,9,TRUE
Odell Beckham Jr.,'',WR/TE,18.23125,11,TRUE
Colin Kaepernick,'',QB,18.1925,10,TRUE
Teddy Bridgewater,'',QB,18.04625,5,TRUE
Dez Bryant,'',WR/TE,17.88125,6,TRUE
Jameis Winston,'',QB,17.84,6,TRUE
Jamaal Charles,'',RB,17.81875,9,TRUE
Alex Smith,'',QB,17.63125,9,TRUE
Matt Forte,'',RB,17.4625,7,TRUE
Marcus Mariota,'',QB,17.45375,4,TRUE
Adrian Peterson,'',RB,17.33125,5,TRUE
Eddie Lacy,'',RB,17.15,7,TRUE
Andy Dalton,'',QB,17.1475,7,TRUE
Le'Veon Bell,'',RB,17.03125,11,TRUE
Tom Brady,'',QB,16.9925,4,TRUE
Jordy Nelson,'',WR/TE,16.9,7,TRUE
Calvin Johnson,'',WR/TE,16.8375,9,TRUE
Alshon Jeffery,'',WR/TE,16.8,7,TRUE
A.J. Green,'',WR/TE,16.725,7,TRUE
Nick Foles,'',QB,16.5725,6,TRUE
C.J. Anderson,'',RB,16.5375,7,TRUE
Derek Carr,'',QB,16.435,6,TRUE
Marshawn Lynch,'',RB,16.25625,9,TRUE
Randall Cobb,'',WR/TE,16.19375,7,TRUE
T.Y. Hilton,'',WR/TE,16,10,TRUE
Blake Bortles,'',QB,15.77625,8,TRUE
LeSean McCoy,'',RB,15.4625,8,TRUE
Mike Evans,'',WR/TE,15.4,6,TRUE
DeMarco Murray,'',RB,14.95,8,TRUE
Rob Gronkowski,'',WR/TE,14.95,4,TRUE
DeAndre Hopkins,'',WR/TE,14.90625,9,TRUE
Jeremy Hill,'',RB,14.69375,7,TRUE
Emmanuel Sanders,'',WR/TE,14.66875,7,TRUE
Kelvin Benjamin,'',WR/TE,14.4125,5,TRUE
Brandin Cooks,'',WR/TE,14.375,11,TRUE
Justin Forsett,'',RB,14.2875,9,TRUE
Julian Edelman,'',WR/TE,14.2625,4,TRUE
Jordan Matthews,'',WR/TE,14.06875,8,TRUE
