name,team,position,points,bye_week,available
Aaron Rodgers,GB,QB,430.14,7,TRUE
Andrew Luck,IND,QB,431.74,10,TRUE
Russell Wilson,SEA,QB,368.6,9,TRUE
Peyton Manning,DEN,QB,390.68,7,TRUE
Drew Brees,NO,QB,369.98,11,TRUE
Ben Roethlisberger,PIT,QB,370.18,11,TRUE
Matt Ryan,ATL,QB,340.26,10,TRUE
Ryan Tannehill,MIA,QB,333.5,5,TRUE
Tom Brady,NE,QB,344.06,4,TRUE
Eli Manning,NYG,QB,329.5,11,TRUE
Tony Romo,DAL,QB,334.3,6,TRUE
Philip Rivers,SD,QB,327.64,10,TRUE
Joe Flacco,BAL,QB,316.44,9,TRUE
Colin Kaepernick,SF,QB,288.66,10,TRUE
Matthew Stafford,DET,QB,295.58,9,TRUE
Jay Cutler,CHI,QB,312.28,7,TRUE
Cam Newton,CAR,QB,284.98,5,TRUE
Alex Smith,KC,QB,256,9,TRUE
Andy Dalton,CIN,QB,263.62,7,TRUE
Derek Carr,OAK,QB,234,6,TRUE
Ryan Fitzpatrick,NYJ,QB,213.72,5,TRUE
Teddy Bridgewater,MIN,QB,207.66,5,TRUE
Kyle Orton,BUF,QB,212.12,8,TRUE
Blake Bortles,JAC,QB,190.22,8,TRUE
Brian Hoyer,HOU,QB,180.94,9,TRUE
Geno Smith,NYJ,QB,176.8,5,TRUE
Mark Sanchez,PHI,QB,167.42,8,TRUE
Josh McCown,CLE,QB,148.94,11,TRUE
Nick Foles,STL,QB,145.32,6,TRUE
Austin Davis,STL,QB,131.64,6,TRUE
Carson Palmer,ARI,QB,125.54,9,TRUE
Drew Stanton,ARI,QB,108.74,9,TRUE
Mike Glennon,TB,QB,109.58,6,TRUE
Shaun Hill,MIN,QB,106.28,5,TRUE
Kirk Cousins,WAS,QB,108.4,8,TRUE
Robert Griffin III,WAS,QB,95.36,8,TRUE
Charlie Whitehurst,TEN,QB,101.04,4,TRUE
Zach Mettenberger,TEN,QB,86.88,4,TRUE
Jake Locker,TEN,QB,73.92,4,TRUE
Colt McCoy,WAS,QB,70.88,8,TRUE
EJ Manuel,BUF,QB,68.72,8,TRUE
Derek Anderson,CAR,QB,60.44,5,TRUE
Michael Vick,NYJ,QB,49.46,5,TRUE
Chad Henne,JAC,QB,36.18,8,TRUE
Matt Cassel,BUF,QB,28.8,8,TRUE
Case Keenum,HOU,QB,26.9,9,TRUE
Ryan Lindley,ARI,QB,26.48,9,TRUE
Ryan Mallett,HOU,QB,23.8,9,TRUE
Brandon Weeden,DAL,QB,26.02,6,TRUE
Matt Hasselbeck,IND,QB,20.94,10,TRUE
Jameis Winston,TB,QB,0,6,TRUE
Marcus Mariota,TEN,QB,0,4,TRUE
Sam Bradford,PHI,QB,0,8,TRUE
Jimmy Garoppolo,NE,QB,14.18,4,TRUE
Johnny Manziel,CLE,QB,11.9,11,TRUE
Brock Osweiler,DEN,QB,8.08,7,TRUE
Bruce Gradkowski,PIT,QB,-0.2,11,TRUE
Jimmy Clausen,CHI,QB,19.82,7,TRUE
Tyrod Taylor,BUF,QB,-0.3,8,TRUE
DeMarco Murray,PHI,RB,351.1,8,TRUE
Le'Veon Bell,PIT,RB,370.5,11,TRUE
Marshawn Lynch,SEA,RB,302.3,9,TRUE
Matt Forte,CHI,RB,346.6,7,TRUE
Arian Foster,HOU,RB,275.5,9,TRUE
Eddie Lacy,GB,RB,272.6,7,TRUE
Jamaal Charles,KC,RB,250.4,9,TRUE
Justin Forsett,BAL,RB,246.9,9,TRUE
Lamar Miller,MIA,RB,223.4,5,TRUE
Jeremy Hill,CIN,RB,210.9,7,TRUE
C.J. Anderson,DEN,RB,211.3,7,TRUE
LeSean McCoy,BUF,RB,201.4,8,TRUE
Alfred Morris,WAS,RB,187.9,8,TRUE
Joique Bell,DET,RB,198.2,9,TRUE
Mark Ingram,NO,RB,191.9,11,TRUE
Frank Gore,IND,RB,158.4,10,TRUE
Matt Asiata,MIN,RB,194.2,5,TRUE
Giovani Bernard,CIN,RB,187.9,7,TRUE
Chris Ivory,NYJ,RB,152.4,5,TRUE
Andre Ellington,ARI,RB,177.5,9,TRUE
Andre Williams,NYG,RB,145.1,11,TRUE
Steven Jackson,ATL,RB,141.5,10,TRUE
Jonathan Stewart,CAR,RB,146,5,TRUE
Fred Jackson,BUF,RB,188.6,8,TRUE
Tre Mason,STL,RB,135.3,6,TRUE
Ahmad Bradshaw,FA,RB,154.5,NA,TRUE
Shane Vereen,NYG,RB,166.8,11,TRUE
Isaiah Crowell,CLE,RB,122.4,11,TRUE
Branden Oliver,SD,RB,145.3,10,TRUE
Rashad Jennings,NYG,RB,138.5,11,TRUE
Darren Sproles,PHI,RB,145.6,8,TRUE
Terrance West,CLE,RB,112.7,11,TRUE
Knile Davis,KC,RB,115,9,TRUE
