name,pass_yards,pass_tds,pass_int,rush_yards,rush_tds,receptions,rec_yards,rec_tds
Le'Veon Bell,0,0,0,1063,6,62,502,3
Jamaal Charles,0,0,0,1128,9,54,463,3
Marshawn Lynch,0,0,0,1293,10,33,258,2
C.J. Anderson,0,0,0,1174,9,47,402,1
DeMarco Murray,0,0,0,1212,11,26,200,1
LeSean McCoy,0,0,0,1422,8,30,212,1
Dez Bryant,0,0,0,0,0,90,1361,10
Odell Beckham Jr.,0,0,0,54,0,102,1363,8
Julio Jones,0,0,0,13,0,105,1404,8
A.J. Green,0,0,0,30,0,90,1266,8
Alshon Jeffery,0,0,0,51,0,89,1207,9
T.Y. Hilton,0,0,0,26,0,86,1194,8
Andrew Luck,4485,36,16,268,2,0,0,0
Emmanuel Sanders,0,0,0,60,0,78,1087,7
Lamar Miller,0,0,0,1071,6,40,316,1
DeAndre Hopkins,0,0,0,0,0,86,1225,5
Carlos Hyde,0,0,0,1092,9,19,152,0
Brandin Cooks,0,0,0,82,0,79,1068,6
Melvin Gordon,0,0,0,1177,5,25,197,1
Jonathan Stewart,0,0,0,1154,5,29,198,1
Eddie Lacy,0,0,0,1348,9,43,306,2
Adrian Peterson,0,0,0,1245,9,47,398,2
Antonio Brown,0,0,0,26,0,116,1522,9
Matt Forte,0,0,0,1065,6,65,599,2
Demaryius Thomas,0,0,0,0,0,102,1298,11
Rob Gronkowski,0,0,0,0,0,83,1022,9
Jeremy Hill,0,0,0,1290,10,23,171,1
Jordy Nelson,0,0,0,0,0,84,1264,10
Calvin Johnson,0,0,0,0,0,87,1284,9
Aaron Rodgers,4323,35,8,256,2,0,0,0
Randall Cobb,0,0,0,119,0,86,1132,8
Mark Ingram,0,0,0,936,11,29,220,1
Mike Evans,0,0,0,0,0,82,1224,7
Alfred Morris,0,0,0,1167,8,19,148,1
Kelvin Benjamin,0,0,0,0,0,75,1076,8
Jimmy Graham,0,0,0,0,0,65,773,8
Justin Forsett,0,0,0,966,5,51,390,2
Russell Wilson,3461,26,9,623,4,0,0,0
Peyton Manning,4641,34,14,-6,1,0,0,0
Jordan Matthews,0,0,0,0,0,82,1011,7
Julian Edelman,0,0,0,58,0,90,964,6
Drew Brees,4904,31,13,42,1,0,0,0
Todd Gurley,0,0,0,1018,7,25,201,1
Keenan Allen,0,0,0,0,0,78,1043,6
DeSean Jackson,0,0,0,27,0,70,1065,4
Joseph Randle,0,0,0,964,6,18,145,1
Andre Ellington,0,0,0,787,5,48,437,2
Rashad Jennings,0,0,0,697,6,21,163,1
Amari Cooper,0,0,0,25,0,77,1026,4
Andre Johnson,0,0,0,0,0,71,890,8
Kevin White,0,0,0,0,0,59,817,6
Greg Olsen,0,0,0,0,0,68,828,5
Mike Wallace,0,0,0,0,0,63,950,5
Chris Ivory,0,0,0,768,4,14,101,1
Ben Roethlisberger,4622,29,13,101,1,0,0,0
Jarvis Landry,0,0,0,26,0,87,916,5
Eric Decker,0,0,0,0,0,71,933,5
Brandon LaFell,0,0,0,0,0,66,863,6
Nelson Agholor,0,0,0,0,0,67,897,6
Shane Vereen,0,0,0,487,4,45,410,2
Frank Gore,0,0,0,993,6,34,280,1
Sammy Watkins,0,0,0,31,0,75,1040,6
Joique Bell,0,0,0,856,8,37,286,1
Latavius Murray,0,0,0,995,6,25,197,1
T.J. Yeldon,0,0,0,973,6,28,224,1
Tevin Coleman,0,0,0,782,7,22,182,1
Giovani Bernard,0,0,0,562,5,59,459,1
Vincent Jackson,0,0,0,0,0,65,1015,5
